,Date,Country,City,Street,Latitude,Longitude
40781,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.685438,-103.442695
40782,30 abr 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,20.719283,-103.424795
40783,30 abr 2025,MX,Guadalajara,Av. Cristóbal Colón,20.62709,-103.384578
40784,30 abr 2025,MX,Guadalajara,Av. Fidel Velázquez Sánchez,20.710684,-103.361312
40785,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.686425,-103.443959
40786,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.682551,-103.43864
40787,30 abr 2025,MX,Guadalajara,Av. Fidel Velázquez Sánchez,20.71067,-103.361382
40788,30 abr 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,20.634088,-103.437164
40789,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.679457,-103.424267
40790,30 abr 2025,MX,Tlaquepaque,Av. Francisco Silva Romero,20.642945,-103.303004
40791,30 abr 2025,MX,Guadalajara,Av. Javier Mina,20.672812,-103.331699
